Player,Player ID,Team,Games Played,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,AST,TO,W,L,W_PCT,MIN,OREB,DREB,REB,STL,BLK,AGE,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,STL_RANK,BLK_RANK,PTS_RANK,HEIGHT,WEIGHT,EXP,SCHOOL,POSITION,PPG,PER
A.J. Lawson,1630639,DAL,42,136,54,121,0.446,13,50,0.26,15,23,0.652,20,14,27,15,0.643,310.9,14,36,50,10,3,23.0,231,168,105,410,378,373,303,346,338,428,382,374,445,389,407,408,414,386,428,385,78.0,179,1,South Carolina,G,3.238095238095238,0.13026696687037634
AJ Green,1631260,MIL,56,252,83,196,0.423,69,169,0.408,17,19,0.895,30,12,35,21,0.625,614.2816666666666,9,55,64,9,4,24.0,155,253,128,333,327,320,393,191,205,72,372,388,54,424,366,381,373,398,410,313,76.0,190,1,Northern Iowa,G,4.5,0.13674508708003116
AJ Griffin,1631100,ATL,20,48,18,62,0.29,10,39,0.256,2,2,1.0,5,8,8,12,0.4,170.73,2,16,18,1,2,20.0,423,138,385,445,447,434,541,372,363,429,487,493,1,507,463,475,488,509,451,450,78.0,220,1,Duke,F,2.4,-0.10542962572482868
Aaron Gordon,203932,DEN,73,1013,398,716,0.556,40,138,0.29,177,269,0.658,259,105,49,24,0.671,2296.81,174,297,471,56,45,28.0,29,282,75,55,78,114,77,258,238,399,69,54,440,21,70,46,83,119,79,93,80.0,235,9,Arizona,F,13.876712328767123,0.3679015678266814
Aaron Holiday,1628988,HOU,78,514,186,417,0.446,84,217,0.387,58,63,0.921,140,53,39,39,0.5,1269.2966666666666,23,100,123,42,6,27.0,117,497,300,217,216,209,305,152,167,129,217,247,37,318,299,310,157,194,370,216,72.0,185,5,UCLA,G,6.589743589743589,0.17529392918387873
Aaron Nesmith,1630174,IND,72,877,315,635,0.496,140,334,0.419,107,137,0.781,108,64,41,31,0.569,1994.655,63,212,275,65,49,24.0,97,406,227,105,132,133,158,70,91,44,131,132,256,138,144,142,208,87,61,117,78.0,215,3,Vanderbilt,G-F,12.180555555555555,0.21231741830040785
Aaron Wiggins,1630598,OKC,78,542,212,377,0.562,62,126,0.492,56,71,0.789,86,56,55,23,0.705,1227.9383333333333,60,126,186,56,19,25.0,14,272,50,224,199,224,71,201,248,15,223,228,241,153,255,238,248,119,219,202,77.0,190,2,Maryland,G,6.948717948717949,0.2691503237811888
Adam Flagler,1641745,OKC,2,3,1,7,0.143,1,6,0.167,0,0,0.0,4,0,2,0,1.0,14.016666666666667,0,0,0,0,0,24.0,511,1,1,554,550,541,558,467,467,473,531,538,531,545,557,561,507,539,520,552,75.0,180,-1,Baylor,G,1.5,-0.1070154577883472
Adama Sanogo,1641766,CHI,9,36,14,27,0.519,0,0,0.0,8,12,0.667,0,5,3,6,0.333,65.76166666666667,19,17,36,1,0,22.0,489,80,432,502,473,482,114,498,541,498,425,426,424,345,458,433,553,509,520,472,81.0,245,-1,Connecticut,F,4.0,0.5930506627467876
Admiral Schofield,1629678,ORL,23,26,10,26,0.385,6,16,0.375,0,2,0.0,7,5,15,8,0.652,84.35833333333333,3,14,17,1,0,27.0,347,110,98,485,487,484,475,402,418,168,531,493,531,487,471,479,473,509,520,491,77.0,241,3,Tennessee,F,1.1304347826086956,0.2074483848661464
Al Horford,201143,BOS,65,562,214,419,0.511,108,258,0.419,26,30,0.867,168,48,51,14,0.785,1739.7966666666666,82,331,413,38,62,37.0,26,162,22,153,197,208,124,109,126,46,323,348,83,94,55,63,135,223,38,195,81.0,240,16,Florida,C-F,8.646153846153846,0.45522561065565137
Alec Burks,202692,NYK,66,689,210,569,0.369,124,330,0.376,145,167,0.868,88,48,18,48,0.273,1211.545,24,126,150,28,12,32.0,316,539,465,227,201,156,497,92,98,165,94,106,80,315,255,269,244,274,286,165,77.0,214,12,Colorado,G,10.43939393939394,0.06685678204276357
Aleksej Pokusevski,1630197,CHA,28,146,49,121,0.405,18,55,0.327,30,41,0.732,35,19,14,14,0.5,405.3833333333333,17,72,89,15,13,22.0,361,162,300,383,386,373,435,327,327,332,308,311,349,366,336,349,359,348,277,377,84.0,210,3,Olympiacos,F,5.214285714285714,0.30835012128438105
Alex Caruso,1627936,CHI,71,715,253,541,0.468,136,333,0.408,73,96,0.76,247,102,34,37,0.479,2040.3433333333332,62,211,273,120,70,30.0,165,475,335,97,165,166,227,77,95,71,186,188,287,140,146,143,90,3,30,159,77.0,186,6,Texas A&M,G,10.070422535211268,0.3080363925679175
Alex Fudge,1641788,DAL,6,15,6,15,0.4,1,5,0.2,2,2,1.0,0,2,1,5,0.167,40.21666666666667,4,1,5,3,0,21.0,538,64,530,529,515,520,442,467,478,460,487,493,1,473,549,527,553,471,520,516,80.0,200,-1,Florida,F,2.5,-0.03729796933278077
Alex Len,203458,SAC,48,120,50,81,0.617,0,3,0.0,20,34,0.588,50,27,24,24,0.5,444.245,46,82,128,11,33,30.0,257,282,300,372,383,409,33,498,496,498,355,334,473,200,323,300,324,377,137,394,84.0,250,10,Maryland,C,2.5,0.5481209692849667
Alondes Williams,1631214,MIA,7,5,2,8,0.25,0,4,0.0,1,1,1.0,0,2,5,2,0.714,15.595,0,1,1,0,1,24.0,466,28,46,551,541,538,547,498,487,498,509,535,1,545,549,555,553,539,478,545,76.0,210,1,Wake Forest,G,0.7142857142857143,-0.48092337287592174
Alperen Sengun,1630578,HOU,63,1331,527,982,0.537,33,111,0.297,244,352,0.693,312,162,29,34,0.46,2045.635,183,406,589,76,46,21.0,213,446,351,94,36,56,92,271,262,379,43,28,396,19,35,25,57,42,77,52,83.0,243,2,Besiktas,C,21.126984126984127,0.4558486729059681
Amari Bailey,1641735,CHA,10,23,8,24,0.333,1,8,0.125,6,7,0.857,7,4,1,9,0.1,64.63333333333334,6,3,9,3,0,20.0,538,118,554,504,505,488,521,467,450,484,437,455,98,452,533,506,473,471,520,498,75.0,185,-1,UCLA,G,2.3,0.07735946364105208
Amen Thompson,1641708,HOU,62,592,239,446,0.536,8,58,0.138,106,155,0.684,163,90,30,32,0.484,1388.5316666666668,148,261,409,78,38,21.0,201,425,331,203,175,197,94,390,324,482,133,116,407,30,93,67,140,36,108,186,79.0,200,-1,Overtime Elite,G-F,9.548387096774194,0.48360438304731973
Amir Coffey,1629599,LAC,70,463,166,352,0.472,70,184,0.38,61,71,0.859,76,33,46,24,0.657,1460.5966666666666,29,119,148,41,14,26.0,52,282,92,194,232,240,215,186,195,153,210,228,95,287,268,274,269,207,267,233,79.0,210,4,Minnesota,G-F,6.614285714285714,0.15746989244121695
Andre Drummond,203083,CHI,79,663,267,480,0.556,0,3,0.0,129,218,0.592,37,81,37,42,0.468,1351.2516666666668,265,443,708,73,48,30.0,139,515,346,206,160,184,76,498,496,498,106,69,472,4,25,14,349,56,64,167,83.0,279,11,Connecticut,C,8.39240506329114,0.6889908245564914
Andre Jackson Jr.,1641748,MIL,57,125,50,100,0.5,17,46,0.37,8,11,0.727,50,28,33,24,0.579,572.3283333333334,43,70,113,16,6,22.0,173,282,210,345,383,395,139,331,345,198,425,433,353,214,338,321,324,341,370,392,78.0,209,-1,Connecticut,G,2.192982456140351,0.3442080157951292
